0.000000, 15, 750, 750, 0, 0, 0
0.020000, 15, 750, 750, 1, 40, 0
0.040000, 15, 750, 750, 2, 90, 0
0.060000, 15, 750, 750, 3, 140, 0
0.080000, 15, 750, 750, 4, 190, 0
0.100000, 15, 750, 750, 5, 240, 0
0.120000, 15, 750, 750, 6, 291, 0
0.140000, 15, 750, 750, 7, 341, 0
0.160000, 15, 750, 750, 8, 391, 0
0.180000, 15, 750, 750, 9, 441, 0
0.200000, 15, 750, 750, 10, 491, 0
0.220000, 15, 750, 750, 11, 538, 0
0.240000, 15, 750, 750, 12, 588, 0
0.260000, 15, 750, 750, 13, 638, 0
0.280000, 15, 750, 750, 14, 688, 0
0.300000, 15, 750, 750, 15, 738, 0
0.320000, 15, 750, 750, 15, 748, 0
0.340000, 15, 750, 750, 15, 748, 0
0.360000, 15, 750, 750, 15, 748, 0
0.380000, 15, 750, 750, 15, 748, 0
0.400000, 15, 750, 750, 15, 748, 0
0.420000, 15, 750, 750, 15, 748, 0
0.440000, 15, 750, 750, 15, 748, 0
0.460000, 15, 750, 750, 15, 748, 0
0.480000, 15, 750, 750, 15, 748, 0
0.500000, 15, 750, 750, 15, 748, 0
0.520000, 15, 750, 750, 15, 748, 0
0.540000, 15, 750, 750, 15, 748, 0
0.560000, 15, 750, 750, 15, 748, 0
0.580000, 15, 750, 750, 15, 748, 0
0.600000, 15, 750, 750, 15, 748, 0
0.620000, 15, 750, 750, 15, 748, 0
0.640000, 15, 750, 750, 15, 748, 0
0.660000, 15, 750, 750, 15, 748, 0
0.680000, 15, 750, 750, 15, 748, 0
0.700000, 15, 750, 750, 15, 748, 0
0.720000, 15, 750, 750, 15, 748, 0
0.740000, 15, 750, 750, 15, 748, 0
0.760000, 15, 750, 750, 15, 748, 0
0.780000, 15, 750, 750, 15, 748, 0
0.800000, 15, 750, 750, 15, 748, 0
0.820000, 15, 750, 750, 15, 748, 0
0.840000, 15, 750, 750, 15, 748, 0
0.860000, 15, 750, 750, 15, 748, 0
0.880000, 15, 750, 750, 15, 748, 0
0.900000, 15, 750, 750, 15, 748, 0
0.920000, 15, 750, 750, 15, 748, 0
0.940000, 15, 750, 750, 15, 748, 0
0.960000, 15, 750, 750, 15, 748, 0
0.980000, 15, 750, 750, 15, 748, 0
1.000000, 15, 750, 750, 15, 748, 0
1.020000, 15, 750, 750, 15, 748, 0
1.040000, 15, 750, 750, 15, 748, 0
1.060000, 15, 750, 750, 15, 748, 0
1.080000, 15, 750, 750, 15, 748, 0
1.100000, 15, 750, 750, 15, 748, 0
1.120000, 15, 750, 750, 15, 748, 1
1.140000, 15, 750, 750, 15, 748, 2
1.160000, 15, 750, 750, 15, 748, 3
1.180000, 15, 750, 750, 15, 748, 4
1.200000, 15, 750, 750, 15, 748, 5
1.220000, 15, 750, 750, 15, 748, 6
1.240000, 15, 750, 750, 15, 748, 7
1.260000, 15, 750, 750, 15, 748, 8
1.280000, 15, 750, 750, 15, 748, 9
1.300000, 15, 750, 750, 15, 748, 10
1.320000, 15, 750, 750, 15, 748, 10
1.340000, 15, 750, 750, 15, 748, 10
1.360000, 15, 750, 750, 15, 748, 10
1.380000, 15, 750, 750, 15, 748, 10
1.400000, 15, 750, 750, 15, 748, 10
